567.9172 346.3559 -21.4297 -22.8
-7.0976 -133.2352 18.2708 -42.6
-1.6619 -149.4294 28.2523 -42
23.8238 -170.9652 48.9904 -40.7
56.0317 -215.1409 65.6463 -39.9
41.1683 -220.4825 60.3833 -38.9
44.9588 -264.0728 54.9034 -36.3
58.5844 -305.1146 45.977 -34.4
64.7229 -345.9605 31.1527 -32.9
60.3837 -396.8143 12.7754 -32.2
43.5522 -418.1128 16.8703 -31.9
34.7332 -421.0248 -1.2153 -31.7
5.2752 -416.3969 -11.292 -30.7
56.671 -441.887 -1.4897 -31.6
61.2911 -471.5182 -10.1937 -30.4
65.5687 -500.5535 -20.8556 -29.7
70.4797 -528.131 -34.3201 -29.4
60.8551 -381.2745 28.7681 -32
49.705 -409.4421 35.5327 -31.7
35.5312 -436.1667 42.6458 -31.5
34.0502 -202.8322 75.3118 -40
26.3231 -220.5213 101.0537 -38.9
11.9898 -235.7227 125.6841 -38.2
0.2439 -250.759 151.4536 -37.9
-31.2273 -168.3997 52.4218 -39.7
-108.2342 -189.1577 95.6982 -38.3
-188.0048 -210.9338 134.6891 -37.6
-230.3857 -208.8351 162.3649 -37.1
-243.0342 -186.87 166.3612 -36.2
-258.0124 -166.7175 171.5552 -35.4
-272.9592 -149.1981 183.3744 -34.9
-274.6194 -130.1281 194.6428 -34.6
3.8006 -145.7792 43.8704 -41.8
32.8952 -145.8327 89.7345 -39.9
69.8082 -147.0028 129.7002 -38.2
103.0814 -149.031 168.8935 -36.7
127.8761 -154.2462 210.2117 -35.4
156.5561 -172.6844 244.9922 -34.2
189.043 -198.6011 270.7896 -32.9
212.6171 -232.8283 296.1704 -31.7
230.7946 -270.8997 320.8166 -30.6
246.7558 -281.3254 354.8028 -30
239.213 -294.9701 343.5114 -30.2
235.9039 -307.8214 360.5098 -30.4
237.2466 -321.7292 383.4282 -29.8
242.7684 -340.6759 410.7299 -28
245.5502 -359.8931 438.2579 -26.9
245.4395 -378.209 466.5182 -26.2
245.7898 -396.614 494.7258 -25.7
247.2704 -415.5627 522.5512 -25.4
251.1563 -434.1187 550.2716 -25.3
87.5934 -135.6219 166.9099 -37.4
-7.9626 -160.9634 18.1345 -44.4
-9.7733 -191.7909 13.6443 -46.5
0.3111 -186.3106 16.896 -46.7
21.8196 -142.5242 25.6371 -44.8
44.4553 -99.2652 34.0221 -42.9
67.7687 -57.8155 47.7439 -41.1
90.3573 -14.932 57.7556 -39.4
115.8272 25.7375 70.039 -37.7
143.4116 48.7977 84.549 -36.4
172.4181 54.8301 100.5883 -35.5
203.409 59.9864 112.3494 -34.7
236.16 61.1688 118.6348 -34.1
261.6991 62.4791 140.4317 -33.5
283.044 64.0298 166.4499 -33
304.3076 65.7583 192.5407 -32.6
327.7875 68.916 216.3702 -32.4
